5nm		
ABSORPTION		
SPECTRUM		
l	abs	MFP, mm
235	0.180	0.0038
240	0.190	0.0036
245	0.210	0.0033
250	0.222	0.0031
255	0.250	0.0027
260	0.286	0.0024
265	0.350	0.0020
270	0.435	0.0016
275	0.492	0.0014
280	0.600	0.0011
285	0.680	0.0010
290	0.775	0.0009
295	0.87	0.0008
300	0.95	0.0007
305	1.000	0.0007
310	0.99	0.0007
315	0.92	0.0007
320	0.84	0.0008
325	0.70	0.0010
330	0.55	0.0012
335	0.39	0.0018
340	0.23	0.0030
345	0.110	0.0062
350	0.030	0.0228
355	0.0014	0.4880
360	0.0007	0.9760
365	0.0004	1.7080
370	0.0001	6.8321
375	0.000	N/A
